"assmt_code","site_code","property","date","raca_adult","raca_juvenile","radr_adult","radr_juvenile","raxx_adult_or_juvenile","bubo_adult","bubo_juvenile","psre_adult","psre_juvenile","taxx_adult","taxx_juvenile","site_notes","egg_masses","personel","personel_count","ves_count","ves_start","ves_end","ves_time_mins","ves_person_mins","wet_m","pond_peri_steps","pond_peri_personel","pond_area","canopy","open_water","depth","trophic_state","veg_shoreline","trees_within_25m","cattle","secchi_1","secchi_2","secchi_3","temp","ph","conductivity","total_dissolved_solids","salinity","water_qual_date_time","dry"
"BARN_20210622","BARN","Blue Oak Ranch Reserve",2021-06-22,0,0,0,0,0,0,0,0,8,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","14:20","14:50",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND002_20210624","BNPND002","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totaly dry",NA,"Tatum, Caitlin, Sarah",3,"3","12:32","13:02",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND003_20210624","BNPND003","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totally dry. fence gone. 4 dead dry newts",NA,"Tatum, Caitlin, Sarah",3,"3","13:00","13:30",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND024_20210624","BNPND024","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,1,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","16:28","16:58",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN016_20210624","CA-BN016","Briones Regional Park",2021-06-24,0,0,0,0,0,0,0,0,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","15:53","16:23",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND008_20210623","GDPND008","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,0,0,"0","totally dry. family of adult and baby turkeys",NA,"Tatum, Caitlin, Sarah",3,"3","15:46","16:16",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NORTH_20210622","NORTH","Blue Oak Ranch Reserve",2021-06-22,0,0,0,0,0,0,0,0,0,0,"0","totally dry, no amphibs",NA,"Tatum, Caitlin, Sarah",3,"3","15:59","16:29",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND002_20210625","PRPND002","Pleasanton Ridge Regional Park",2021-06-25,0,0,0,0,0,0,0,1,0,0,"0","totally dry",NA,"Tatum, Caitlin, Sarah",3,"3","18:02","18:32",30,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND004_20210623","GDPND004","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,0,0,"0","no pond but the usual tiny spring which looks grosser than ever. coyote, scleoporous, alligator lizard",NA,"Tatum, Caitlin, Sarah",3,"2","14:28","14:58",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,26.1,6.22,"2860","2030","1.7",NA,1
"PRPND009_20210625","PRPND009","Pleasanton Ridge Regional Park",2021-06-25,1,0,0,0,1,0,0,7,0,0,"10","almost dry, just lots of plants and mud. scleoporous",NA,"Tatum, Caitlin, Sarah",3,"3","12:36","13:06",30,90,1.5,"66","TSK",NA,"0","5",NA,"2","20",7,0,NA,NA,NA,28.9,8.96,"1728","1240","0.87",NA,0
"GRAMPS_20210621","GRAMPS","Blue Oak Ranch Reserve",2021-06-21,1,25,0,0,26,1,0,0,30,0,"0","water snake, 3 AMCA larvae",NA,"Tatum, Caitlin, Sarah",3,"3","22:06","22:36",30,90,1.5,"121","SRB",NA,"0","85",NA,"1","100",2,0,54.6,60.2,NA,19.6,8.4,"1659","1260","0.89",NA,0
"GDPND009_20210623","GDPND009","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,14,0,"1","",NA,"Tatum, Caitlin, Sarah",3,"3","16:22","16:52",30,90,0.5,"140","TSK",NA,"50","50",NA,"2","90",NA,0,94.2,NA,NA,31,7.22,"2460","1760","1.22",NA,0
"PRPND003_20210625","PRPND003","Pleasanton Ridge Regional Park",2021-06-25,0,0,0,0,0,0,1000,0,125,0,"0","",NA,"Tatum, Caitlin, Sarah",3,"3","16:27","16:57",30,90,1,"143","SRB",NA,"0","90",NA,"1","0",2,0,5,10.5,NA,26.6,9.34,"1162","753","0.6",NA,0
"GDPND005_20210623","GDPND005","Garin Dry Creek Regional Park",2021-06-23,0,0,0,0,0,0,0,0,0,0,"0","",NA,"Tatum, Caitlin, Sarah",3,"3","13:03","13:33",30,90,1,"150","SRB",NA,"30","30",NA,"1","100",0,0,61,NA,NA,26.7,5.82,"3540","2480","1.82",NA,0
"PRPND004_20210625","PRPND004","Pleasanton Ridge Regional Park",2021-06-25,10,1,0,0,11,0,100,0,0,0,"4","plumbus esque tad spotted",NA,"Tatum, Caitlin, Sarah",3,"3","15:24","15:54",30,90,0.5,"161","SRB",NA,"15","95",NA,"1","0",7,0,52,NA,NA,28.5,8.87,"1965","1410","0.97",NA,0
"WEST_20210622","WEST","Blue Oak Ranch Reserve",2021-06-22,15,0,0,0,15,1,50,0,50,0,"0","night survey, giant floating dead snake",NA,"Tatum, Caitlin, Sarah",3,"3","22:36","23:06",30,90,0.25,"265","SRB",NA,"0","65",NA,"1","0",NA,0,NA,NA,NA,18.1,9.17,"1253","945","0.93",NA,0
"CABIN_20210622","CABIN","Blue Oak Ranch Reserve",2021-06-22,2,0,0,0,2,0,0,0,10,0,"0","night survey, big snake, 3 turtles",NA,"Tatum, Caitlin, Sarah",3,"3","20:50","21:20",30,90,0.5,"287","SRB",NA,"5","85",NA,"1","70",9,0,78.8,NA,NA,24.7,7.89,"2130","1650","1.13",NA,0
"PRPND010_20210625","PRPND010","Pleasanton Ridge Regional Park",2021-06-25,1,300,0,0,301,0,0,7,0,0,"0","a SUPER WEIRD drought sampling! See June 2023 photos to trule see how horrific it was! dead and dying tadpoles, stuck and dessicating in the small amount of water. there is almost no water, just tadpole bodies. pond is covered in tadpoles-almost-metamorphs and appears to move as you approach. Notebook not super clear, says ~300 metas and the photo is clearly all rana tadpoles! this was one of the last water sources in the area during the drought. Photo: https://photos.app.goo.gl/KZSPkKjLpBe9Ccde6; PERIMETER NOTES:""almost dry""",NA,"Tatum, Caitlin, Sarah",3,"3","11:37","12:07",30,90,1,NA,NA,NA,"0","5",NA,"2","25",0,0,NA,NA,NA,21.7,8.68,"1761","1.18","0.88",NA,0
"CA-BN004_20210624","CA-BN004","Briones Regional Park",2021-06-24,0,0,1,0,1,0,0,0,0,4,"0","7 dead turtles, scleoporous, fence removed. pond is about 30m diam of puddles and mud under dense veg; PERIMETER NOTES:~ 30 m diameter estimated",NA,"Tatum, Caitlin, Sarah",3,"3","13:30","14:00",30,90,NA,NA,NA,NA,NA,NA,NA,"2","100",0,1,NA,NA,NA,23.6,5.58,"4400","3380","2.39",NA,0
"GDPND006_20210623","GDPND006","Garin Dry Creek Regional Park",2021-06-23,0,0,1,0,1,0,0,1,0,0,"0","garter snake, western fence lizards",NA,"Tatum, Caitlin, Sarah",3,"2","11:42","12:12",30,60,2,"118","SRB",NA,"40","60",NA,"1","100",0,0,0,NA,NA,22.2,6.16,"3.39","2.53","1.79",NA,0
"GDPND006_20210728","GDPND006","Garin/Dry Creek Regional Park",2021-07-28,0,0,0,0,0,0,0,0,0,0,"0","Tiny muddy pond in huge wet ring that we sunk into, found some RADR and Tasp larvae when dipping for inverts, pond the color of tar, canopy so high due to fallen cattails","0","Caitlin, Sarah Boyle",2,"2","8:30","8:45",15,30,2.5,"78","SRB",NA,"40","50",NA,"0","100",0,0,0,NA,NA,18.1,7.17,"3430","2.5 ppt","1.76","7/28/2021 8:30",0
"CABIN_20210726","CABIN","Blue Oak Ranch Reserve",2021-07-26,10,300,3,300,613,0,0,0,8,0,"0","Day survey AND night survey (day survey didn’t find much, only recording night survey data in amphib counts)- pig wallowing, red tail hawk call, quail, cloudy morning, pig tracks, jay; TONS of RADR metas- hard to not step on them!! Tons of raca metas in water too, hard to differentiate between radr and raca adults in water but def 3 radr adults on land, hard to find psres- weird! small rain this morning for the first time all summer","0","Caitlin, Sarah Boyle",2,"2","21:00","21:35",35,70,0.5,"264","SRB",NA,"10","90",NA,"1","25",14,0,102,NA,NA,21.4,7.33,"467","326","0.22","7/26/2021 8:30",0
"GDPND005_20210728","GDPND005","Garin/Dry Creek Regional Park",2021-07-28,0,0,1,1,2,0,0,0,0,0,"0","Garter snake, blue dragonflies, wasps, fence lizards, tadpole, newt larvae","0","Caitlin, Sarah Boyle",2,"2","9:35","9:50",15,30,3.5,"110","SRB",NA,"30","60",NA,"1","100",0,0,99,NA,NA,22.1,6.92,"2460","2.46 ppt","1.73","7/28/2021 9:30",0
"GDPND004_20210728","GDPND004","Garin/Dry Creek Regional Park",2021-07-28,0,0,0,0,0,0,0,0,0,0,"0","Completely dry pond, 2 small springs up the hill, data entered for one of the springs, the other one was GROSS, pig tracks, lots of wasps (hawk wasp), garter snake; PERIMETER NOTES: estimated 3 meters total","0","Caitlin, Sarah Boyle",2,"2","10:36","10:46",10,20,0.3,"3",NA,NA,"0","100",NA,"0","40",1,0,NA,NA,NA,22.6,7.27,"2330","1.72 (unk units)","1.22","7/28/2021 10:30",0
"GRAMPS_20210726","GRAMPS","Blue Oak Ranch Reserve",2021-07-26,2,200,0,0,202,1,0,0,7,0,"0","Day survey AND night survey (day survey only 1 amphib, only recording night survey amphib data here); definitely smaller and less veg than last month, jay, tons of Rasp in pond","0","Caitlin, Sarah Boyle",2,"2","23:25","24:00",35,70,0.5,"107","SRB",NA,"0","25",NA,"1","15",0,0,15.6,NA,NA,23.8,7.3,"708","631","0.55","7/26/2021 9:30",0
"WEST_20210726","WEST","Blue Oak Ranch Reserve",2021-07-26,10,50,0,0,60,1,20,0,30,0,"0","Day survey for non-amphibs, Night for amphibs; NOTE: did not take estimated abundances at the time, these are guesses based on memory in September","0","Caitlin, Sarah Boyle",2,"2","21:00","21:35",35,70,0.3,"210","SRB",NA,"0","10",NA,"1","3",3,0,25,NA,NA,26.3,8.8,"1985","1.38 (unk units)","1.03","7/26/2021 11:30",0
"PRPND004_20210730","PRPND004","Pleasanton Ridge Regional Park",2021-07-30,5,0,0,0,5,0,500,0,0,0,"0","SO MANY toadlets, hard to not step on them! Newt larvae pulled up in invert net, did not record conductivity units, but extrapolated that the 2.66 was in ms, thus 2660 us, a conductivity of 2 is silly for the salinity recorded. this was done solo and at night because of car troubles","0","Caitlin",1,"1","18:00","18:15",15,15,0.75,"117","CLN",NA,"5","80",NA,"1","0",7,0,25,NA,NA,28.3,8.76,"2660","1.78 (unk units)","1.33","7/30/2021 19:00",0
"PRPND003_20210812","PRPND003","Pleasanton Ridge Regional Park",2021-08-12,0,0,0,0,0,0,50,0,40,0,"0","Super muddy, this survey done in August to make up for missed at end of July, hella snails, frogs hiding in cracks, BUBO and PSRES hiding together (awww), ONE FROG WITH CRAZY RIB INFECTION (ENTIRE EXTRA LEG AND FOOT), abundances estimates later based on memory","0","Caitlin, Sarah Boyle",2,"2","10:43","10:58",15,30,2,"83","SRB",NA,"0","85",NA,"1","0",2,0,10.2,NA,NA,31,9.35,"2330","1.64 ppt","1.16","8/12/2021 11:00",0
"GDPND009_20210728","GDPND009","Garin/Dry Creek Regional Park",2021-07-28,0,0,0,5,5,0,0,0,1,0,"0","Newt larvae, did not record conductivity units, but extrapolated that the 2.00 was in ms, thus 2000 us, because a conductivity of 2 us is silly for the level of salinity","0","Caitlin, Sarah Boyle",2,"2","12:30","13:00",30,60,1,"114","SRB",NA,"30","40",NA,"1","40",15,0,77.3,NA,NA,33,7.78,"2000","1.45 (unk units)","1.02","7/28/2021 13:00",0
"BARN_20210726","BARN","Blue Oak Ranch Reserve",2021-07-26,0,0,0,0,0,0,0,0,2,0,"0","Day survey; ves COUNT IS 1.5 BECAUSE BOTH OF US LOOKED FOR 15 THEN I LOOKED ALONE FOR THE LAST 15, COMPLETELY DRY","0","Caitlin, Sarah Boyle",2,"2","14:00","14:30",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NORTH_20210726","NORTH","Blue Oak Ranch Reserve",2021-07-26,0,0,0,0,0,0,0,0,0,0,"0","Day survey, completely dry","0","Caitlin, Sarah Boyle",2,"2","13:18","13:38",20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND008_20210728","GDPND008","Garin/Dry Creek Regional Park",2021-07-28,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, fence lizards","0","Caitlin, Sarah Boyle",2,"2","12:00","12:20",20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND002_20210729","BNPND002","Briones Regional Park",2021-07-29,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, sceloporus, quail","0","Caitlin, Sarah Boyle",2,"2","11:15","11:30",15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND003_20210729","BNPND003","Briones Regional Park",2021-07-29,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, all gravel, no cracks, 1 lizard","0","Caitlin, Sarah Boyle",2,"2","12:41","12:51",10,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN004_20210729","CA-BN004","Briones Regional Park",2021-07-29,0,0,0,0,0,0,0,0,0,1,"0","Dry with 2 tiny puddles (1"" in diameter) and filled with wasps, dry veg mat, tons of dead turtles, potentially some mud under the dead veg on top?","0","Caitlin, Sarah Boyle",2,"2","11:30","11:45",15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND024_20210729","BNPND024","Briones Regional Park",2021-07-29,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, fence lizards","0","Caitlin, Sarah Boyle",2,"2","14:15","14:30",15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN016_20210729","CA-BN016","Briones Regional Park",2021-07-29,3,0,0,0,3,0,0,0,0,0,"0","Completely dry, 3 raca adults deep in dried cow trail","0","Caitlin, Sarah Boyle",2,"2","13:48","14:03",15,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND010_20210730","PRPND010","Pleasanton Ridge Regional Park",2021-07-30,0,0,0,0,0,0,0,0,8,0,"0","Completely dry, 20+ dead dried out RACA adults, HOT DAY","0","Caitlin, Sarah Boyle",2,"2","12:30","13:00",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND009_20210730","PRPND009","Pleasanton Ridge Regional Park",2021-07-30,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, collected soil and nems on 7/30 and frog survey on 8/11","0","Caitlin, Sarah Boyle",2,"2","13:30","14:00",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND002_20210730","PRPND002","Pleasanton Ridge Regional Park",2021-07-30,0,0,0,0,0,0,0,0,0,0,"0","completely dry","0","Caitlin",1,"1","17:30","17:45",15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND004_20210829","GDPND004","Garin/Dry Creek Regional Park",2021-08-29,0,0,0,0,0,0,0,0,0,0,"0","Completely dry except 2 small springs up the hill, data gathered from those, tons of waspa, tons of mosquito larvae; PERIMETER NOTE: meters","0","Caitlin, Cherie, Hope, Kaylie",4,"1","11:00","11:30",30,30,0.1,"3",NA,NA,"0","100",NA,"0","60",1,0,NA,NA,NA,24,8.28,"5.06 ms","3.58 ppt","2.5","11:00",0
"GDPND005_20210828","GDPND005","Garin/Dry Creek Regional Park",2021-08-28,0,3,1,0,4,0,0,0,0,0,"0","newt larvae, heard Rasp jump in, wasps, dragonflies, mud is color of tar, hard to traverse","0","Caitlin, Cherie, Hope, Kaylie",4,"2","12:04","12:34",30,60,1,"30","CLN",NA,"30","50",NA,"2","100",0,0,2,NA,NA,26.9,7.82,"5.76 ms","4.04 ppt","2.86","12:00",0
"PRPND003_20210830","PRPND003","Pleasanton Ridge Regional Park",2021-08-30,0,0,0,0,0,0,60,0,16,0,"0","Super muddy, sink into mud, really shallow like 2 inches","0","Caitlin, Cherie, Hope, Kaylie",4,"2","14:45","15:15",30,60,2,"41","CLN",NA,"0","5",NA,"2","0",NA,0,0,NA,NA,32.1,8.68,"10.33 ms","7.33 ppt","3.32","15:00",0
"GRAMPS_20210827","GRAMPS","Blue Oak Ranch Reserve",2021-08-27,0,200,0,0,200,0,0,0,30,0,"0","TONS of raca metas, clams present, might want to double check eutrophy level, might be 2?","0","Caitlin, Cherie, Hope, Kaylie",4,"2","0:30","0:56",26,52,0.75,"64","CLN",NA,"0","10",NA,"2","0",4,0,43.9,NA,NA,34,8.28,"853","592","0.41","13:30",0
"GDPND009_20210828","GDPND009","Garin/Dry Creek Regional Park",2021-08-28,0,1,0,0,1,0,0,0,2,0,"0","newt larvae, over 5 cows",NA,"Caitlin, Cherie, Hope, Kaylie",4,"2","16:30","17:00",30,60,1,"81","CLN",NA,"30","50",NA,"2","70",16,1,7,NA,NA,32.9,9.29,"3.16 MS","2.23 ppt","1.65","17:00",0
"PRPND004_20210830","PRPND004","Pleasanton Ridge Regional Park",2021-08-30,1,1,0,0,2,0,1000,0,0,0,"0","Newt larvae, tadpoles (I think bubo) and around 2% of BUBO jeveniles had tails, super eutrophic, SO MANY TOADLETS","0","Caitlin, Cherie, Hope, Kaylie",4,"2","12:30","13:00",30,60,0.5,"85","CLN",NA,"5","35",NA,"2","0",9,0,6,NA,NA,29.8,9.94,"3.67","2.57 ppt","1.81","12:30",0
"WEST_20210827","WEST","Blue Oak Ranch Reserve",2021-08-27,10,30,0,0,40,1,20,0,200,0,"0","racas jumping in pond, pig tracks","0","Caitlin, Cherie, Hope, Kaylie",4,"3","17:00","17:30",30,90,0.5,"127","CLN",NA,"0","50",NA,"1","0",3,0,36,NA,NA,21.3,9.12,"3.83 ms","1.13 ppt","0.8","9:55",0
"CABIN_20210826","CABIN","Blue Oak Ranch Reserve",2021-08-26,3,300,2,300,605,0,0,0,30,0,"0","Duck, turtle, pig tracks, coyote, water kind of mucky from frog catching for water quality, hundreds of Rasp metas","0","Caitlin, Cherie, Hope, Kaylie",4,"3","20:50","21:20",30,90,0.5,"195","CLN",NA,"5","85",NA,"1","5",4,0,43.9,NA,NA,28.9,8.41,"2.5 ms","1.79 ppt","1.26","12:30",0
"BARN_20210826","BARN","Blue Oak Ranch Reserve",2021-08-26,0,0,0,0,0,0,0,0,0,0,"0","Completely dry","0","Caitlin, Hope, Kaylie",3,"1.5","12:00","12:30",30,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"NORTH_20210827","NORTH","Blue Oak Ranch Reserve",2021-08-27,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, totally dead, no isopods or spiders or lizards or anything","0","Caitlin, Hope, Kaylie",3,"2","10:50","11:10",20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND006_20210828","GDPND006","Garin/Dry Creek Regional Park",2021-08-28,0,0,1,0,1,0,0,0,2,0,"0","baby garter snake, lizards, dry snail shells","0","Caitlin, Cherie, Hope, Kaylie",4,"2","14:00","14:30",30,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"GDPND008_20210828","GDPND008","Garin/Dry Creek Regional Park",2021-08-28,0,0,0,0,0,0,0,0,0,0,"0","dry cow poo, thorny veg, lizards, moths, flies, bees","0","Cherie, Hope, Kaylie",3,"2","16:00","16:20",20,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND002_20210829","BNPND002","Briones Regional Park",2021-08-29,0,0,0,0,0,0,0,0,0,0,"0","completely dry, lizards","0","Caitlin, Cherie, Hope, Kaylie",4,"3","10:30","10:50",20,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND003_20210829","BNPND003","Briones Regional Park",2021-08-29,0,0,0,0,0,0,0,0,0,0,"0","completely dry, gravely, no cracks","0","Caitlin, Cherie, Hope, Kaylie",4,"3","11:00","11:16",16,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN004_20210829","CA-BN004","Briones Regional Park",2021-08-29,0,0,0,0,0,0,0,0,0,18,"0","Completely dry, newts found deep in holes together, 19 dried out dead turtles, one dried out newt, fence lizards","0","Caitlin, Cherie, Hope, Kaylie",4,"3","11:30","11:57",27,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"BNPND024_20210829","BNPND024","Briones Regional Park",2021-08-29,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, super deep cracks, lizards, small snake with blue stripe","0","Caitlin, Cherie, Hope, Kaylie",4,"3","14:13","14:33",20,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"CA-BN016_20210829","CA-BN016","Briones Regional Park",2021-08-29,0,1,0,0,1,0,0,0,0,0,"0","Completely dry, lizards, raca found deep in hole","0","Caitlin, Cherie, Hope, Kaylie",4,"3","13:40","13:55",15,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"PRPND010_20210830","PRPND010","Pleasanton Ridge Regional Park",2021-08-30,0,0,0,0,0,0,0,0,0,0,"0","Completely dry, 26 dried out RACA adult bodies, small lizards, hawk overhead","0","Caitlin, Cherie, Hope, Kaylie",4,"3","10:05","10:27",22,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
