Day 0 ,40μm-1,40μm-2,40μm-3,40μm-4,0.22μm-1,0.22µm-2,0.22μm-3,0.22μm-4,,,,,
NCOS,0.013,0.014,0.013,0.011,-0.002,-0.002,0.002,-0.001,,,,,
Cabin,-0.003,-0.002,-0.001,-0.002,-0.002,-0.0009625,-0.0009625,-0.002,,,,,
Gramps,0.001,-0.0003625,0.0003375,-6.25E-05,-0.001,-0.0004625,-0.002,-0.0005625,,,,,
,,,,,,,,,,,,,
Day 1,40μm-1,40μm-2,40μm-3,40μm-4,0.22μm-1,0.22µm-2,0.22μm-3,0.22μm-4,,,,,
NCOS,0.189,0.206,0.195,0.198,0.001,0.002,0.002,0.000325,,,,,
Cabin,0.153,0.155,0.146,0.152,0.002,0.002,0.003,0.004,,,,,
Gramps,0.162,0.149,0.14,0.176,0.002,0.002,0.002,0.003,,,,,
,,,,,,,,,,,,,
Day 2,40μm-1,40μm-2,40μm-3,40μm-4,0.22μm-1,0.22µm-2,0.22μm-3,0.22μm-4,,,,,
NCOS,0.366,0.371,0.364,0.372,0.0022,0.0023,0.0021,0.0021,,,,, 
Cabin,0.288,0.304,0.303,0.293,-0.003,-0.003,-0.002,-0.003,,,,,
Gramps,0.343,0.355,0.324,0.327,-0.002,-0.001,-0.002,-0.002,,,,,
,,,,,,,,,,,,,
Day 3,40μm-1,40μm-2,40μm-3,40μm-4,0.22μm-1,0.22µm-2,0.22μm-3,0.22μm-4,,,,,
NCOS,0.693,0.707,0.705,0.717,0.004,0.006,0.006,0.005,,,,,
Cabin,0.5,0.52,0.509,0.882,0.002,0.002,0.001,0.002,,,,,
Gramps,0.585,0.588,0.584,0.589,0.001,0.002,0.003,0.002,,,,,
,,,,,,,,,,,,,
Day 4 ,40μm-1,40μm-2,40μm-3,40μm-4,0.22μm-1,0.22µm-2,0.22μm-3,0.22μm-4,,,,,
NCOS,0.881,0.916,0.982,0.894,0.011,0.011,0.013,0.012,,,,,
Cabin,0.689,0.698,0.697,0.69,0.004,0.004,0.005,0.003,,,,,
Gramps,0.807,0.826,0.81,0.826,0.01,0.009,0.009,0.008,,,,,