day,site,bd_qty,filter
Day_1,BARN,2.98E+03,40um_filter
Day_1,PRPND002,5.88E+03,40um_filter
Day_1,GDPND009,3.82E+03,40um_filter
Day_1,GDPND008,5.13E+03,40um_filter
Day_1,PRPND004,2.11E+04,40um_filter
Day_1,GDPND004,7.27E+03,40um_filter
Day_1,CABIN,5.39E+02,40um_filter
Day_1,NORTH,0.00E+00,40um_filter
Day_1,WEST,1.42E+03,40um_filter
Day_1,PRPND009,1.94E+03,40um_filter
Day_1,GDPND006,6.93E+02,40um_filter
Day_1,PRPND003,7.69E+03,40um_filter
Day_1,GDPND005,5.10E+03,40um_filter
Day_1,GRAMPS,2.09E+03,40um_filter
Day_1,PRPND010,4.64E+03,40um_filter
Day_1,MQ,1.30E+04,40um_filter
Day_7,BARN,1.02E+02,40um_filter
Day_7,PRPND002,1.36E+02,40um_filter
Day_7,GDPND009,4.54E+02,40um_filter
Day_7,GDPND008,7.53E+02,40um_filter
Day_7,PRPND004,1.40E+02,40um_filter
Day_7,GDPND004,9.66E+02,40um_filter
Day_7,CABIN,2.40E+01,40um_filter
Day_7,NORTH,0.00E+00,40um_filter
Day_7,WEST,3.10E+01,40um_filter
Day_7,PRPND009,7.10E+01,40um_filter
Day_7,GDPND006,1.14E+02,40um_filter
Day_7,PRPND003,6.90E+01,40um_filter
Day_7,GDPND005,5.80E+01,40um_filter
Day_7,GRAMPS,1.00E+01,40um_filter
Day_7,PRPND010,1.30E+02,40um_filter
Day_7,MQ,5.13E+02,40um_filter
Day_1,BARN,1.93E+03,0.22um_filter
Day_1,PRPND002,2.47E+03,0.22um_filter
Day_1,GDPND009,1.51E+03,0.22um_filter
Day_1,GDPND008,1.53E+03,0.22um_filter
Day_1,PRPND004,2.71E+03,0.22um_filter
Day_1,GDPND004,4.40E+03,0.22um_filter
Day_1,CABIN,4.77E+02,0.22um_filter
Day_1,NORTH,7.38E+02,0.22um_filter
Day_1,WEST,5.20E+01,0.22um_filter
Day_1,PRPND009,1.66E+03,0.22um_filter
Day_1,GDPND006,1.71E+03,0.22um_filter
Day_1,PRPND003,9.63E+02,0.22um_filter
Day_1,GDPND005,1.82E+03,0.22um_filter
Day_1,GRAMPS,2.11E+03,0.22um_filter
Day_1,PRPND010,5.93E+02,0.22um_filter
Day_1,MQ,5.64E+03,0.22um_filter
Day_7,BARN,8.70E+01,0.22um_filter
Day_7,PRPND002,1.23E+02,0.22um_filter
Day_7,GDPND009,7.90E+01,0.22um_filter
Day_7,GDPND008,2.52E+02,0.22um_filter
Day_7,PRPND004,1.55E+02,0.22um_filter
Day_7,GDPND004,2.79E+02,0.22um_filter
Day_7,CABIN,3.30E+01,0.22um_filter
Day_7,NORTH,6.60E+01,0.22um_filter
Day_7,WEST,6.10E+01,0.22um_filter
Day_7,PRPND009,1.54E+02,0.22um_filter
Day_7,GDPND006,1.11E+02,0.22um_filter
Day_7,PRPND003,5.67E+02,0.22um_filter
Day_7,GDPND005,6.60E+01,0.22um_filter
Day_7,GRAMPS,1.97E+02,0.22um_filter
Day_7,PRPND010,1.47E+02,0.22um_filter
Day_7,MQ,4.21E+02,0.22um_filter