day,site,filter,bd_location,sample_name
1,GDPND006,0.22um_filter,adherent,Adh_MLBd+PW1_0.22
1,GDPND005,0.22um_filter,adherent,Adh_MLBd+PW2_0.22
1,GDPND009,0.22um_filter,adherent,Adh_MLBd+PW3_0.22
1,PRPND010,0.22um_filter,adherent,Adh_MLBd+PW4_0.22
1,PRPND009,0.22um_filter,adherent,Adh_MLBd+PW5_0.22
1,PRPND004,0.22um_filter,adherent,Adh_MLBd+PW6_0.22
1,WEST,0.22um_filter,adherent,Adh_MLBd+PW7_0.22
1,CABIN,0.22um_filter,adherent,Adh_MLBd+PW8_0.22
1,GRAMPS,0.22um_filter,adherent,Adh_MLBd+PW9_0.22
7,GDPND006,0.22um_filter,adherent,Adh_MLBd+PW1_0.22
7,GDPND005,0.22um_filter,adherent,Adh_MLBd+PW2_0.22
7,GDPND009,0.22um_filter,adherent,Adh_MLBd+PW3_0.22
7,PRPND010,0.22um_filter,adherent,Adh_MLBd+PW4_0.22
7,PRPND009,0.22um_filter,adherent,Adh_MLBd+PW5_0.22
7,PRPND004,0.22um_filter,adherent,Adh_MLBd+PW6_0.22
7,WEST,0.22um_filter,adherent,Adh_MLBd+PW7_0.22
7,CABIN,0.22um_filter,adherent,Adh_MLBd+PW8_0.22
7,GRAMPS,0.22um_filter,adherent,Adh_MLBd+PW9_0.22
1,GDPND006,0.22um_filter,supernatant,Sup_MLBd+PW1_0.22
1,GDPND005,0.22um_filter,supernatant,Sup_MLBd+PW2_0.22
1,GDPND009,0.22um_filter,supernatant,Sup_MLBd+PW3_0.22
1,PRPND010,0.22um_filter,supernatant,Sup_MLBd+PW4_0.22
1,PRPND009,0.22um_filter,supernatant,Sup_MLBd+PW5_0.22
1,PRPND004,0.22um_filter,supernatant,Sup_MLBd+PW6_0.22
1,WEST,0.22um_filter,supernatant,Sup_MLBd+PW7_0.22
1,CABIN,0.22um_filter,supernatant,Sup_MLBd+PW8_0.22
1,GRAMPS,0.22um_filter,supernatant,Sup_MLBd+PW9_0.22
7,GDPND006,0.22um_filter,supernatant,Sup_MLBd+PW1_0.22
7,GDPND005,0.22um_filter,supernatant,Sup_MLBd+PW2_0.22
7,GDPND009,0.22um_filter,supernatant,Sup_MLBd+PW3_0.22
7,PRPND010,0.22um_filter,supernatant,Sup_MLBd+PW4_0.22
7,PRPND009,0.22um_filter,supernatant,Sup_MLBd+PW5_0.22
7,PRPND004,0.22um_filter,supernatant,Sup_MLBd+PW6_0.22
7,WEST,0.22um_filter,supernatant,Sup_MLBd+PW7_0.22
7,CABIN,0.22um_filter,supernatant,Sup_MLBd+PW8_0.22
7,GRAMPS,0.22um_filter,supernatant,Sup_MLBd+PW9_0.22
1,GDPND006,40um_filter,adherent,Adh_MLBd+PW1_40
1,GDPND005,40um_filter,adherent,Adh_MLBd+PW2_40
1,GDPND009,40um_filter,adherent,Adh_MLBd+PW3_40
1,PRPND010,40um_filter,adherent,Adh_MLBd+PW4_40
1,PRPND009,40um_filter,adherent,Adh_MLBd+PW5_40
1,PRPND004,40um_filter,adherent,Adh_MLBd+PW6_40
1,WEST,40um_filter,adherent,Adh_MLBd+PW7_40
1,CABIN,40um_filter,adherent,Adh_MLBd+PW8_40
1,GRAMPS,40um_filter,adherent,Adh_MLBd+PW9_40
7,GDPND006,40um_filter,adherent,Adh_MLBd+PW1_40
7,GDPND005,40um_filter,adherent,Adh_MLBd+PW2_40
7,GDPND009,40um_filter,adherent,Adh_MLBd+PW3_40
7,PRPND010,40um_filter,adherent,Adh_MLBd+PW4_40
7,PRPND009,40um_filter,adherent,Adh_MLBd+PW5_40
7,PRPND004,40um_filter,adherent,Adh_MLBd+PW6_40
7,WEST,40um_filter,adherent,Adh_MLBd+PW7_40
7,CABIN,40um_filter,adherent,Adh_MLBd+PW8_40
7,GRAMPS,40um_filter,adherent,Adh_MLBd+PW9_40
1,GDPND006,40um_filter,supernatant,Sup_MLBd+PW1_40
1,GDPND005,40um_filter,supernatant,Sup_MLBd+PW2_40
1,GDPND009,40um_filter,supernatant,Sup_MLBd+PW3_40
1,PRPND010,40um_filter,supernatant,Sup_MLBd+PW4_40
1,PRPND009,40um_filter,supernatant,Sup_MLBd+PW5_40
1,PRPND004,40um_filter,supernatant,Sup_MLBd+PW6_40
1,WEST,40um_filter,supernatant,Sup_MLBd+PW7_40
1,CABIN,40um_filter,supernatant,Sup_MLBd+PW8_40
1,GRAMPS,40um_filter,supernatant,Sup_MLBd+PW9_40
7,GDPND006,40um_filter,supernatant,Sup_MLBd+PW1_40
7,GDPND005,40um_filter,supernatant,Sup_MLBd+PW2_40
7,GDPND009,40um_filter,supernatant,Sup_MLBd+PW3_40
7,PRPND010,40um_filter,supernatant,Sup_MLBd+PW4_40
7,PRPND009,40um_filter,supernatant,Sup_MLBd+PW5_40
7,PRPND004,40um_filter,supernatant,Sup_MLBd+PW6_40
7,WEST,40um_filter,supernatant,Sup_MLBd+PW7_40
7,CABIN,40um_filter,supernatant,Sup_MLBd+PW8_40
7,GRAMPS,40um_filter,supernatant,Sup_MLBd+PW9_40
1,MQ,control,adherent,Adh_MLBd+MQ_40
7,MQ,control,adherent,Adh_MLBd+MQ_40
1,MQ,control,supernatant,Sup_MLBd+MQ_40
7,MQ,control,supernatant,Sup_MLBd+MQ_40
1,MQ,control ,adherent,Adh_MLBd+MQ_0.22
7,MQ,control ,adherent,Adh_MLBd+MQ_0.22
1,MQ,control ,supernatant,Sup_MLBd+MQ_0.22
7,MQ,control ,supernatant,Sup_MLBd+MQ_0.22